Part Number,	Item Name, 	Quantity, 	Location Room, 		Location Row,	Location Column, Location Shelf ,Barcode, 	Item Description,Stock Date,Unit Price,VAT Amount,Sale Price (Inc VAT),Total value (inc VAT),Supplier Id
wel4813,lamp 15w ses e14 clear,10,,,,,wel4813,,22 March 2016,0.78,0.16,0.94,9.4,6
dst3970123018,element fan oven 2000w ,1,,,,,dst3970123018,,23 March 2016,9.50,1.90,11.40,11.4,18
jegppj112-30,30amp consumer unit fuse,5,,,,,jegppj112-30,,23 March 2016,1.59,0.32,1.91,9.55,18
quaele001,element fan oven belling,1,,,,,quaele001,,23 March 2016,3.20,0.64,3.84,3.84,18
qualele006,element fan oven creda,1,,,,,qualele006,,23 March 2016,1.95,0.39,2.34,2.34,18
qualele2044ego,element fan oven bosch,1,,,,,qualele2044ego,,23 March 2016,7.95,1.59,9.54,9.54,18
y3129591246110,maytag drum belt,1,,,,,y3129591246110,,27 March 2016,0.00,0.00,0.00,0,45
0.5580's,danfoss nozzle,2,,,,,0.5580's,,29 March 2016,3.85,0.77,4.62,9.24,32
bvli,oil isolation valve 10mm,5,,,,,bvli,,29 March 2016,2.50,0.50,3.00,15,32
b2018,yellow drive coupling,1,,,,,b2018,,30 March 2016,21.70,4.34,26.04,26.04,32
tf832,satronic tf832 control box,1,,,,,tf832,,30 March 2016,19.00,3.80,22.80,22.8,32
